id,province,population,x_coord,y_coord,latitude,longitude,Ontrelevant,name
45035,4,17244,96897.97268,171516.7238,50.86700173,3.566255186,NVT,OUDENAARDE
45041,4,14030,96552.39579,160152.3437,50.7505367,3.6005095,NVT,RONSE
45057,4,4068,97610.65333,177773.4317,50.89844873,3.624289042,NVT,ZINGEM
45059,4,8363,107019.5923,166487.5123,50.80880837,3.765395394,NVT,BRAKEL-NEDERBRAKEL
45060,4,3624,89819.11111,163762.3833,50.80618251,3.515408622,NVT,KLUISBERGEN-RUIEN
45061,4,3701,91221.67235,171104.1394,50.83026537,3.532112759,NVT,WORTEGEM-PETEGEM
45062,4,1179,102348.9943,169406.8829,50.83875743,3.693519314,NVT,HOREBEKE
45063,4,3959,112907.1958,166475.1674,50.80714443,3.838568958,NVT,LIERDE
45064,4,3829,98348.14556,165184.6361,50.80227577,3.602693078,NVT,MAARKEDAL-ETIKHOVE
45065,4,4823,104510.6137,174558.3294,50.88202098,3.716472065,NVT,ZWALM-MUNKZWALM
46003,4,28654,140583.4316,213636.5792,51.2322929,4.237451859,NVT,BEVEREN
46013,4,9246,145125.5305,204858.3995,51.15301667,4.302544163,NVT,KRUIBEKE
46014,4,23255,122514.3058,199999765,51.08699851,4.022810287,NVT,LOKEREN
46020,4,10886,132199.6304,213294.6634,51.22494431,4.120494851,NVT,SINT-GILLIS-WAAS
46021,4,42500,133537.3964,206051.6793,51.15601109,4.133301282,NVT,SINT-NIKLAAS
46024,4,10679,126905.3383,211303.8593,51.2063523,4.048499131,NVT,STEKENE
46025,4,16341,138474.5382,202130.5831,51.12266291,4.207545544,NVT,TEMSE
71002,7,4779,235612.7681,189456.9969,51.01100582,5.590412706,NVT,AS
71004,7,25686,209879.7411,194726.4407,51.04873441,5.212648295,NVT,BERINGEN
71011,7,11739,224385.1788,178653.9385,50.91083,5.41336,NVT,DIEPENBEEK
71016,7,39696,229238533,185213.0928,50.97960258,5.50961926,NVT,GENK
71017,7,4805,207035.1402,158667.6816,50.7385491,5.170312608,NVT,GINGELOM
71020,7,5242,201179.0838,182874.6931,50.95776809,5.109483875,NVT,HALEN
71022,7,44546,216500.2421,180994.8387,50.93245981,5.301306813,NVT,HASSELT
71024,7,7616,207046.7934,181292.1836,50.94664874,5.175029104,NVT,HERK-DE-STAD
71034,7,8819,211394.3612,201269.5541,51.11385204,5.240346694,NVT,LEOPOLDSBURG
71037,7,8812,207509.1912,187852.7242,50.98877191,5.178900627,NVT,LUMMEN
71045,7,4284,208873.6975,174306198,50.89115626,5.19876493,NVT,NIEUWERKERKEN
71047,7,6183,234904.6453,192892.14,51.04316,5.58412,NVT,OPGLABBEEK
71053,7,24292,208676.3525,167141.6403,50.80806,5.192988466,NVT,SINT-TRUIDEN
71057,7,10715,200252.0629,194676.0704,51.0642666,5.0881938,NVT,TESSENDERLO
71066,7,12698,220609.0619,187229645,50.98931272,5.363570775,NVT,ZONHOVEN
71067,7,4621,234788.3133,180754.8967,50.93196,5.57227,NVT,ZUTENDAAL
71069,7,6189,205539.2129,199289889,51.09465249,5.146617881,NVT,HAM-OOSTHAM
71070,7,19599,214585594,190459.6691,51.0354099,5.283057,NVT,HEUSDEN-ZOLDER
72003,7,7720,232823.0282,208562.5347,51.17729043,5.559537305,NVT,BOCHOLT
72004,7,9135,237274534,203846.7297,51.13898643,5.60348756,NVT,BREE
72018,7,7780,248298211,204997.2733,51.13201763,5.795878262,NVT,KINROOI
72020,7,20128,215806.1253,213378.2407,51.2304193,5.3110063,NVT,LOMMEL
72021,7,15124,245173.7809,198458.2381,51.089794,5.730320677,NVT,MAASEIK
72025,7,10117,225881.5135,213677.6806,51.22943981,5.444357529,NVT,NEERPELT
