# Seed	Infected count
0	5
42983770	5
85870963	5
128838537	5
171835788	5
214727959	5
257677910	5
300684851	5
343586579	5
386518885	5
429530955	5
472446060	5
515362104	5
558374331	5
601305566	5
644208028	5
687215430	5
730164264	5
773056904	5
816054881	5
859021381	5
901908742	5
944893447	5
987876273	5
1030763318	5
1073731960	5
1116728470	5
1159620189	5
1202571257	5
1245577720	5
1288478729	5
1331412112	5
1374424004	5
1417338180	5
1460255175	5
1503267540	5
1546197710	5
1589100921	5
1632108765	5
1675056482	5
1717949609	5
1760948298	5
1803913718	5
1846801266	5
1889786895	5
1932768764	5
1975655682	5
2018625387	5
2061621140	5
2104512426	5
2147464611	5
2190470578	5
2233370883	5
2276305348	5
2319317043	5
2362230300	5
2405148257	5
2448160740	5
2491089850	5
2533993824	5
2577002092	5
2619948693	5
2662842325	5
2705841710	5
2748806046	5
2791693801	5
2834680342	5
2877661246	5
2920548054	5
2963518816	5
3006513798	5
3049404669	5
3092357970	5
3135363423	5
3178263040	5
3221198592	5
3264210071	5
3307122421	5
3350041349	5
3393053931	5
3435981988	5
3478886740	5
3521895413	5
3564840899	5
3607735054	5
3650735119	5
3693698366	5
3736586346	5
3779573789	5
3822553717	5
3865440436	5
3908412247	5
3951406445	5
3994296920	5
4037251335	5
4080256257	5
4123155201	5
4166091844	5
4209103088	5
4252014543	5
