# Seed	Infected count
0	5
42915573	5
85927724	5
128859494	5
171761587	5
214768760	5
257718153	5
300610556	5
343608172	5
386575210	5
429462484	5
472446723	5
515430023	5
558317140	5
601285249	5
644282131	5
687174073	5
730124583	5
773131287	5
816032654	5
858965498	5
901977481	5
944892120	5
987808638	5
1030820937	5
1073751639	5
1116654473	5
1159662098	5
1202610374	5
1245503255	5
1288501590	5
1331467551	5
1374355003	5
1417340171	5
1460322520	5
1503209499	5
1546178673	5
1589174806	5
1632066306	5
1675017933	5
1718024150	5
1760924805	5
1803858729	5
1846870525	5
1889784240	5
1932701715	6
1975714141	5
2018643780	5
2061547371	5
2104555429	5
2147502588	5
2190395965	5
2233395004	5
2276359883	5
2319247532	5
2362233619	5
2405215006	5
2448101867	5
2491072101	5
2534067471	5
2576958547	5
2619911290	5
2662917002	6
2705816961	5
2748751969	5
2791763558	5
2834676361	5
2877594801	5
2920607337	5
2963535919	5
3006440281	5
3049448754	5
3092394797	5
3135288688	5
3178288415	5
3221252207	5
3264140072	5
3307127066	5
3350107482	5
3392994244	5
3435965531	5
3478960123	5
3521850794	5
3564804652	5
3607809841	5
3650709120	5
3693645217	5
3736656581	5
3779568482	5
3822487898	5
3865500523	5
3908428056	5
3951333202	5
3994342071	5
4037287000	5
4080181422	5
4123181822	5
4166144523	5
4209032623	5
4252020512	5
