# Seed	Infected count
0	5
42949672	5
85899344	5
128849016	5
171798688	5
214748360	5
257698032	5
300647704	5
343597376	5
386547048	5
429496720	5
472446392	5
515396064	5
558345736	5
601295408	5
644245080	5
687194752	5
730144424	5
773094096	5
816043768	5
858993440	5
901943112	5
944892784	5
987842456	5
1030792128	5
1073741800	5
1116691472	5
1159641144	5
1202590816	5
1245540488	5
1288490160	5
1331439832	5
1374389504	5
1417339176	5
1460288848	5
1503238520	5
1546188192	5
1589137864	5
1632087536	5
1675037208	5
1717986880	5
1760936552	5
1803886224	5
1846835896	5
1889785568	5
1932735240	5
1975684912	5
2018634584	5
2061584256	5
2104533928	5
2147483600	5
2190433272	5
2233382944	5
2276332616	5
2319282288	5
2362231960	5
2405181632	5
2448131304	5
2491080976	5
2534030648	5
2576980320	5
2619929992	5
2662879664	5
2705829336	5
2748779008	5
2791728680	5
2834678352	5
2877628024	5
2920577696	5
2963527368	5
3006477040	5
3049426712	5
3092376384	5
3135326056	5
3178275728	5
3221225400	5
3264175072	5
3307124744	5
3350074416	5
3393024088	5
3435973760	5
3478923432	5
3521873104	5
3564822776	5
3607772448	5
3650722120	5
3693671792	5
3736621464	5
3779571136	5
3822520808	5
3865470480	5
3908420152	5
3951369824	5
3994319496	5
4037269168	5
4080218840	5
4123168512	5
4166118184	5
4209067856	5
4252017528	5
