# Seed	Infected count
1631205520	1301
3213921916	1274
2651742051	1151
1881906828	1224
2841671989	1189
350359428	1176
3113161131	1302
284363088	1249
757015574	1213
1915366726	1291
2065387828	1310
2670634466	1211
1217945086	1197
2389100812	1238
2433129646	1171
1659953163	1174
3802070382	1312
2471671467	1151
3781939909	1218
3181898984	1260
2344391622	1270
3522746486	1274
3978638753	1191
2882029102	1199
446525372	1337
898132899	1233
849422010	1175
67484503	1251
3614224320	1159
3110049262	1278
2789924310	1181
3833706147	1175
557585602	1171
3991551685	1214
2819823031	1220
3385869590	1257
2653552753	1241
360341939	1202
1895033085	1192
295046906	1153
3940227734	1201
405266415	1196
491109085	1164
399555614	1250
4004112682	1324
515006020	1190
1336050608	1228
3235065949	1175
3675530996	1196
3409696561	1260
19225356	1144
2684210541	1151
3324048776	1194
1582617484	1220
1252140130	1243
4211668908	1198
2158895275	1144
1775636152	1206
4041576022	1261
874949326	1125
1137180309	1241
1395307065	1157
2330506615	1191
2065498964	1193
3414370703	1137
3246160077	1266
4199028822	1284
827339028	1145
1531227291	1232
3016246579	1237
2913549074	1244
519183069	1293
53083663	1079
3656079277	1188
2958047527	1151
1500510643	1143
1876364510	1147
1374533686	1095
2659362559	1164
1497845913	1238
2826938358	1204
2302212629	1214
2301442932	1248
3774807877	1236
845594409	1274
1836520019	1306
2878049689	1273
383610994	1144
3261872178	1214
4161033256	1173
1290638383	1191
2554918766	1206
3804311049	1147
1155484484	1200
34878144	1152
3015424274	1346
564668843	1244
2660908511	1166
3347776964	1229
1978814872	1208
