# Seed	Infected count
1631205520	49093
3213921916	57975
2651742051	55156
1881906828	57787
2841671989	52051
350359428	55636
3113161131	51993
284363088	54428
757015574	53738
1915366726	54687
2065387828	53755
2670634466	58738
1217945086	52024
2389100812	59479
2433129646	53238
1659953163	50845
3802070382	47897
2471671467	57693
3781939909	54291
3181898984	54357
2344391622	53268
3522746486	56121
3978638753	54767
2882029102	49738
446525372	55351
898132899	53500
849422010	53932
67484503	57831
3614224320	56262
3110049262	59501
2789924310	59472
3833706147	54715
557585602	51400
3991551685	52567
2819823031	52903
3385869590	56172
2653552753	55495
360341939	54976
1895033085	55108
295046906	55909
3940227734	59600
405266415	57545
491109085	52876
399555614	56884
4004112682	50137
515006020	51418
1336050608	52454
3235065949	55179
3675530996	54091
3409696561	55404
19225356	56654
2684210541	54547
3324048776	55022
1582617484	54708
1252140130	54855
4211668908	55419
2158895275	53053
1775636152	55223
4041576022	56187
874949326	52676
1137180309	56666
1395307065	58358
2330506615	58194
2065498964	52936
3414370703	55884
3246160077	55521
4199028822	54599
827339028	57098
1531227291	56313
3016246579	56825
2913549074	59786
519183069	52779
53083663	52563
3656079277	55034
2958047527	53121
1500510643	54654
1876364510	52905
1374533686	55820
2659362559	48380
1497845913	58519
2826938358	56608
2302212629	52302
2301442932	56123
3774807877	55060
845594409	51101
1836520019	53386
2878049689	53850
383610994	55160
3261872178	53539
4161033256	53711
1290638383	54165
2554918766	55024
3804311049	55108
1155484484	56758
34878144	51774
3015424274	59579
564668843	58615
2660908511	54158
3347776964	55667
1978814872	56507
