# Seed	Infected count
0	118132
42949672	118210
85899344	118171
128849016	118196
171798688	118113
214748360	118159
257698032	118106
300647704	118231
343597376	118264
386547048	118093
429496720	118213
472446392	118127
515396064	118202
558345736	118225
601295408	118195
644245080	118203
687194752	118243
730144424	118109
773094096	118177
816043768	118119
858993440	118138
901943112	118191
944892784	118151
987842456	118224
1030792128	118189
1073741800	118154
1116691472	118115
1159641144	118171
1202590816	118119
1245540488	118165
1288490160	118150
1331439832	118203
1374389504	118187
1417339176	118198
1460288848	118178
1503238520	118186
1546188192	118200
1589137864	118127
1632087536	118224
1675037208	118205
1717986880	118209
1760936552	118234
1803886224	118292
1846835896	118249
1889785568	118137
1932735240	118191
1975684912	118205
2018634584	118185
2061584256	118266
2104533928	118081
2147483600	118190
2190433272	118094
2233382944	118156
2276332616	118116
2319282288	118226
2362231960	118216
2405181632	118164
2448131304	118134
2491080976	118072
2534030648	118158
2576980320	118179
2619929992	118217
2662879664	118099
2705829336	118184
2748779008	118115
2791728680	118228
2834678352	118256
2877628024	118190
2920577696	118173
2963527368	118135
3006477040	118198
3049426712	118297
3092376384	118246
3135326056	118222
3178275728	118118
3221225400	118159
3264175072	118162
3307124744	118107
3350074416	118170
3393024088	118170
3435973760	118257
3478923432	118221
3521873104	118189
3564822776	118146
3607772448	118202
3650722120	118234
3693671792	118104
3736621464	118180
3779571136	118160
3822520808	118169
3865470480	118193
3908420152	118222
3951369824	118181
3994319496	118142
4037269168	118223
4080218840	118251
4123168512	118163
4166118184	118174
4209067856	118148
4252017528	118238
