# Seed	Infected count
1631205520	118099
3213921916	118135
2651742051	118134
1881906828	118240
2841671989	118292
350359428	118167
3113161131	118211
284363088	118088
757015574	118105
1915366726	118160
2065387828	118306
2670634466	118236
1217945086	118143
2389100812	118127
2433129646	118167
1659953163	118216
3802070382	118046
2471671467	118219
3781939909	118280
3181898984	118229
2344391622	118208
3522746486	118295
3978638753	118206
2882029102	118184
446525372	118327
898132899	118191
849422010	118186
67484503	118263
3614224320	118129
3110049262	118254
2789924310	118233
3833706147	118269
557585602	118104
3991551685	118270
2819823031	118196
3385869590	118223
2653552753	118228
360341939	118191
1895033085	118184
295046906	118193
3940227734	118149
405266415	118222
491109085	118154
399555614	118130
4004112682	118115
515006020	118212
1336050608	118210
3235065949	118243
3675530996	118139
3409696561	118165
19225356	118210
2684210541	118185
3324048776	118112
1582617484	118231
1252140130	118284 
4211668908	118185
2158895275	118168
1775636152	118082
4041576022	118257
874949326	118083
1137180309	118193
1395307065	118143
2330506615	118258
2065498964	118115
3414370703	118247
3246160077	118203
4199028822	118262
827339028	118169
1531227291	118271
3016246579	118175
2913549074	118203
519183069	118149
53083663	118168
3656079277	118251
2958047527	118164
1500510643	118155
1876364510	118190
1374533686	118104
2659362559	118125
1497845913	118069
2826938358	118211
2302212629	118256
2301442932	118208
3774807877	118156
845594409	118176
1836520019	118255
2878049689	118222
383610994	118133
3261872178	118084
4161033256	118250
1290638383	118249
2554918766	118194
3804311049	118122
1155484484	118143
34878144	118199
3015424274	118231
564668843	118136
2660908511	118122
3347776964	118125
1978814872	118270
