# Seed	Infected count
0	118132
42915573	118268
85927724	118276
128859494	118165
171761587	118092
214768760	118128
257718153	118209
300610556	118117
343608172	118160
386575210	118198
429462484	118203
472446723	118096
515430023	118184
558317140	118098
601285249	118252
644282131	118231
687174073	118188
730124583	118177
773131287	118227
816032654	118177
858965498	118176
901977481	118142
944892120	118256
987808638	118217
1030820937	118144 
1073751639	118275
1116654473	118201
1159662098	118145
1202610374	118268
1245503255	118421 
1288501590	118163
1331467551	118179
1374355003	118212
1417340171	118153
1460322520	118149
1503209499	118138
1546178673	118224
1589174806	118271
1632066306	118323
1675017933	118250
1718024150	118179
1760924805	118229
1803858729	118137
1846870525	118258
1889784240	118227
1932701715	118202
1975714141	118150
2018643780	118235
2061547371	118229
2104555429	118254
2147502588	118078
2190395965	118105
2233395004	118124
2276359883	118227
2319247532	118217
2362233619	118260
2405215006	118153
2448101867	118190
2491072101	118192
2534067471	118215
2576958547	118147
2619911290	118216
2662917002	118115
2705816961	118300
2748751969	118214
2791763558	118202
2834676361	118229
2877594801	118129
2920607337	118181
2963535919	118206
3006440281	118064
3049448754	118177
3092394797	118160
3135288688	118290
3178288415	118121
3221252207	118190
3264140072	118201
3307127066	118146
3350107482	118238
3392994244	118348
3435965531	118183
3478960123	118212
3521850794	118150
3564804652	118204
3607809841	118258
3650709120	118171
3693645217	118175
3736656581	118238
3779568482	118179
3822487898	118194
3865500523	118174
3908428056	118134
3951333202	118288
3994342071	118128
4037287000	118170
4080181422	118198
4123181822	118066
4166144523	118209
4209032623	118126
4252020512	118232
