# Seed	Infected count
1631205520	114913
3213921916	114868
2651742051	114787
1881906828	114925
2841671989	114648
350359428	114804
3113161131	114804
284363088	115090
757015574	114835
1915366726	114853
2065387828	114992
2670634466	114938
1217945086	114637
2389100812	114643
2433129646	114803
1659953163	114667
3802070382	114836
2471671467	114962
3781939909	114688
3181898984	115096
2344391622	114871
3522746486	114938
3978638753	114934
2882029102	114643
446525372	114772
898132899	114901
849422010	114902
67484503	114908
3614224320	114757
3110049262	114951
2789924310	115021
3833706147	114755
557585602	114976
3991551685	114855
2819823031	114548
3385869590	114682
2653552753	114932
360341939	114705
1895033085	114967
295046906	114874
3940227734	114987
405266415	114887
491109085	115019
399555614	114856
4004112682	114619
515006020	114870
1336050608	114930
3235065949	114817
3675530996	114745
3409696561	114772
19225356	115031
2684210541	114871
3324048776	114872
1582617484	114717
1252140130	114926
4211668908	114709
2158895275	114634
1775636152	114900
4041576022	114867
874949326	114795
1137180309	114549
1395307065	114747
2330506615	114702
2065498964	114753
3414370703	115016
3246160077	114941
4199028822	115070
827339028	114817
1531227291	114919
3016246579	114969
2913549074	114861
519183069	114794
53083663	114730
3656079277	115134
2958047527	114912
1500510643	114777
1876364510	114872
1374533686	114798
2659362559	114904
1497845913	114799
2826938358	114791
2302212629	114685
2301442932	114798
3774807877	114856
845594409	115009
1836520019	114725
2878049689	114867
383610994	114760
3261872178	115018
4161033256	114910
1290638383	114831
2554918766	114738
3804311049	114969
1155484484	114915
34878144	114891
3015424274	115054
564668843	114782
2660908511	114642
3347776964	114937
1978814872	114810
