# Seed	Infected count
0	114920
42915573	114914
85927724	114779
128859494	114963
171761587	114821
214768760	114765
257718153	114901
300610556	114925
343608172	114888
386575210	114839
429462484	114789
472446723	115034
515430023	114757
558317140	114650
601285249	114937
644282131	114782
687174073	114893
730124583	114937
773131287	114803
816032654	115054
858965498	114899
901977481	115055
944892120	114850
987808638	114921
1030820937	114692
1073751639	114771
1116654473	115155
1159662098	114729
1202610374	115057
1245503255	114984
1288501590	114728
1331467551	114756
1374355003	114978
1417340171	115235
1460322520	114934
1503209499	114983
1546178673	114829
1589174806	114979
1632066306	114724
1675017933	114753
1718024150	114891
1760924805	114759
1803858729	115039
1846870525	114994
1889784240	114882
1932701715	114865
1975714141	115009
2018643780	114866
2061547371	114912
2104555429	114978
2147502588	114817
2190395965	114673
2233395004	114844
2276359883	114677
2319247532	115093
2362233619	114897
2405215006	115094
2448101867	114781
2491072101	114749
2534067471	114863
2576958547	114881
2619911290	115102
2662917002	114944
2705816961	114852
2748751969	114766
2791763558	114946
2834676361	114888
2877594801	114746
2920607337	114817
2963535919	114894
3006440281	114699
3049448754	114665
3092394797	114632
3135288688	114887
3178288415	114818
3221252207	114875
3264140072	114769
3307127066	114900
3350107482	114852
3392994244	114671
3435965531	114927
3478960123	114833
3521850794	114824
3564804652	114833
3607809841	114997
3650709120	114918
3693645217	114737
3736656581	115070
3779568482	114884
3822487898	114782
3865500523	114894
3908428056	114881
3951333202	114782
3994342071	114808
4037287000	114880
4080181422	115047
4123181822	114938
4166144523	114759
4209032623	115018
4252020512	114857
